objectid,mode,lineabbr,month_,year_,servicetype,avgboardings,city,county
1,Fixed Route Bus - Regular,1,February,2024,SAT,1190.376666999999998,Salt Lake City,Salt Lake
2,Fixed Route Bus - Regular,1,January,2024,SUN,532.083333000000039,Salt Lake City,Salt Lake
3,Fixed Route Bus - Regular,1,February,2024,WKD,2677.471900000000005,Salt Lake City,Salt Lake
4,Fixed Route Bus - Regular,1,February,2024,SUN,622.216666999999916,Salt Lake City,Salt Lake
5,Fixed Route Bus - Regular,1,January,2024,SAT,1031.400000000000091,Salt Lake City,Salt Lake
6,Fixed Route Bus - Regular,1,January,2024,WKD,2473.420651999999791,Salt Lake City,Salt Lake
7,Fixed Route Bus - Regular,1,March,2023,SUN,479.333332999999982,Salt Lake City,Salt Lake
8,Fixed Route Bus - Regular,1,August,2023,WKD,2029.433421999999837,Salt Lake City,Salt Lake
9,Fixed Route Bus - Regular,1,December,2023,SAT,982.476666999999907,Salt Lake City,Salt Lake
10,Fixed Route Bus - Regular,1,November,2023,WKD,2666.897789000000103,Salt Lake City,Salt Lake
11,Fixed Route Bus - Regular,1,May,2023,SAT,1105.566667000000052,Salt Lake City,Salt Lake
12,Fixed Route Bus - Regular,1,October,2023,SUN,618.583333000000039,Salt Lake City,Salt Lake
13,Fixed Route Bus - Regular,1,September,2023,SAT,1132.683332999999948,Salt Lake City,Salt Lake
14,Fixed Route Bus - Regular,1,March,2023,SAT,959.916666999999961,Salt Lake City,Salt Lake
15,Fixed Route Bus - Regular,1,April,2023,SAT,989.149999999999977,Salt Lake City,Salt Lake
16,Fixed Route Bus - Regular,1,March,2023,WKD,1934.930573999999979,Salt Lake City,Salt Lake
17,Fixed Route Bus - Regular,1,September,2023,WKD,2723.528118000000177,Salt Lake City,Salt Lake
18,Fixed Route Bus - Regular,1,February,2023,SUN,482.833332999999982,Salt Lake City,Salt Lake
19,Fixed Route Bus - Regular,1,May,2023,WKD,1934.369300000000067,Salt Lake City,Salt Lake
20,Fixed Route Bus - Regular,1,August,2023,SAT,1145.849999999999909,Salt Lake City,Salt Lake
21,Fixed Route Bus - Regular,1,July,2023,SUN,537.733333000000016,Salt Lake City,Salt Lake
22,Fixed Route Bus - Regular,1,July,2023,WKD,1650.850054999999884,Salt Lake City,Salt Lake
23,Fixed Route Bus - Regular,1,August,2023,SUN,581.833333000000039,Salt Lake City,Salt Lake
24,Fixed Route Bus - Regular,1,October,2023,SAT,1122.259999999999991,Salt Lake City,Salt Lake
25,Fixed Route Bus - Regular,1,January,2023,SUN,456.816666999999995,Salt Lake City,Salt Lake
26,Fixed Route Bus - Regular,1,November,2023,SAT,1133.093333000000030,Salt Lake City,Salt Lake
