objectid,objectid_1,uta_mode,month_,wkd2017,wkd2018,wkd2019,wkd2020,wkd2021,wkd2022,wkd2023,wkd2024,wkd2025
9,9,Systemwide Ridership,September,171252,177946,174634,70866,101143,124206,138883,,
10,10,Systemwide Ridership,October,160425,162238,164327,67425,93835,117089,132174,,
11,11,Systemwide Ridership,November,163537,163148,159709,63213,95564,111165,128066,,
12,12,Systemwide Ridership,December,147735,142484,142114,60100,87840,97366,115264,,
21,21,Commuter Rail,September,19155,21800,21428,5383,10262,14208,15832,,
22,22,Commuter Rail,October,17144,20114,20171,5370,9257,13291,15158,,
23,23,Commuter Rail,November,18639,20112,19980,4794,9541,12418,14684,,
24,24,Commuter Rail,December,17948,17574,17434,4355,8189,10707,12327,,
33,33,Light Rail,September,66052,65388,61447,21866,33704,36220,41415,,
34,34,Light Rail,October,61809,57234,58228,21210,31100,33502,38659,,
35,35,Light Rail,November,63899,59091,56272,20410,32115,32754,34865,,
36,36,Light Rail,December,59186,52972,52009,19764,29681,28824,35748,,
45,45,Street Car,September,1458,1414,1501,794,1024,1288,1270,,
46,46,Street Car,October,1440,1329,1379,825,1015,1258,1292,,
47,47,Street Car,November,1377,1265,1389,762,1113,1148,1256,,
48,48,Street Car,December,1386,1199,1345,716,1549,1100,1178,,
57,57,Fixed Route Bus - Total,September,75391,80347,82982,39448,50901,65433,71766,,
58,58,Fixed Route Bus - Total,October,72495,76807,77630,36627,47419,62139,68673,,
59,59,Fixed Route Bus - Total,November,71295,74391,75208,34053,47840,57898,68662,,
60,60,Fixed Route Bus - Total,December,61242,63565,65102,32305,43687,49759,57828,,
69,69,Fixed Route Bus - Regular,September,72967,68332,66681,33805,42863,55298,57444,,
70,70,Fixed Route Bus - Regular,October,70183,65033,62859,31587,40046,52625,54912,,
71,71,Fixed Route Bus - Regular,November,68779,63118,61538,29435,40715,49250,55131,,
72,72,Fixed Route Bus - Regular,December,57018,52299,51965,27236,34074,41061,46021,,
14,14,Commuter Rail,February,17747,18092,19431,19352,5153,10764,12924,14377,
25,25,Light Rail,January,60960,57174,53289,52833,20414,29191,30835,38194,
37,37,Street Car,January,1312,1357,1181,1331,748,1210,1077,1182,
49,49,Fixed Route Bus - Total,January,69139,67919,73360,76715,35430,46223,60848,66863,
61,61,Fixed Route Bus - Regular,January,63696,62928,58669,58517,29138,36541,49026,50949,
73,73,Fixed Route Bus - Express,January,2463,2397,2514,2421,362,739,919,734,
