fid,lineabbr,linename,frequency,routetype,city,avgbrd,county,lineabbr1,shape__len,st_length_shape_
1,1,SOUTH TEMPLE,15,Frequent,Salt Lake City,2665,Salt Lake,1,0.216542860000000,
11,47,4700 SOUTH,30,Regular,"Taylorsville, Murray, West Valley City",1468,Salt Lake,47,0.289047810000000,
3,4,400 SOUTH,30,Regular,"Salt Lake City, Millcreek",1127,Salt Lake,4,0.289614330000000,
4,9,900 SOUTH,15,Frequent,Salt Lake City,1992,Salt Lake,9,0.208646240000000,
72,F202,SANDY PARKWAY FLEX,30,Regular,"Midvale, Sandy, Murray, South Jordan",193,Salt Lake,0,0.102215840000000,
54,720,S-LINE,15,S Line,"Salt Lake City, South Salt Lake",1339,Salt Lake,720,0.038926620000000,
8,35,3500 SOUTH,15,Frequent,"South Salt Lake, West Valley City",3954,Salt Lake,35,0.335093250000000,
25,240,4000 WEST/ DIXIE VALLEY,30,Regular,"Taylorsville, West Jordan, West Valley City",994,Salt Lake,240,0.214643610000000,
45,630,BRIGHAM CITY / OGDEN COMMUTER,30-80,Regular,"Willard, Brigham City, Harrisville, Perry, Ogden, Pleasant View",423,"Box Elder, Weber",630,0.400111650000000,
10,45,4500 SOUTH,30,Regular,"Murray, Millcreek, Holladay",776,Salt Lake,45,0.145943180000000,
58,807,NORTH COUNTY/LEHI STATION/UVU,30 peak,Limited,"Lindon, Orem, Pleasant Grove, Lehi, Vineyard, Cedar Hills, Highland, American Fork",56,Utah,807,0.366637700000000,
59,821,SOUTH COUNTY/PROVO STATION,30,Regular,"Salem, Springville, Spanish Fork, Payson, Provo",768,Utah,821,0.374359990000000,
60,822,SOUTH UTAH COUNTY BYU/UVU LIMITED,60 peak,Limited,"Salem, Springville, Orem, Spanish Fork, Payson, Provo",129,Utah,822,0.470023030000000,
76,F525,MIDVALE FLEX,30,Regular,"Midvale, Sandy",153,Salt Lake,0,0.088954960000000,
78,F570,7000 SOUTH FLEX,30,Regular,"Midvale, West Jordan",224,Salt Lake,0,0.163358730000000,
52,703,RED LINE,15,Red Line,"Midvale, Salt Lake City, Murray, Millcreek, South Salt Lake, West Jordan, South Jordan",17602,Salt Lake,703,0.482633500000000,
75,F514,JORDAN GATEWAY FLEX,30,Regular,"Sandy, South Jordan, Draper",182,Salt Lake,0,0.117598370000000,
80,F590,9000 SOUTH FLEX,30,Regular,"Sandy, West Jordan",182,Salt Lake,0,0.122044450000000,
32,513,INDUSTRIAL BUSINESS PARK SHUTTLE,30 peak,Limited,"Salt Lake City, West Valley City",59,Salt Lake,513,0.365685670000000,
2,2,200 SOUTH,15,Frequent,Salt Lake City,1552,Salt Lake,2,0.129540140000000,
16,201,STATE STREET SOUTH,60,Regular,"Midvale, Murray, Sandy, South Jordan",380,Salt Lake,201,0.174282530000000,
18,209,900 EAST / 9TH AVE,15,Frequent,"Salt Lake City, Murray, Millcreek",2706,Salt Lake,209,0.294607060000000,
19,213,1300 EAST / 1100 EAST,30,Regular,"Midvale, Salt Lake City, Murray, Millcreek, Sandy, Cottonwood Heights",1037,Salt Lake,213,0.265621890000000,
22,220,HIGHLAND DRIVE / 1300 EAST,30,Regular,"Salt Lake City, Murray, Millcreek, Sandy, Cottonwood Heights, Holladay",1175,Salt Lake,220,0.335115410000000,
23,223,2300 EAST/ HOLLADAY BLVD,60,Regular,"Salt Lake City, Millcreek, Cottonwood Heights, Holladay",515,Salt Lake,223,0.350318620000000,
17,205,500 EAST,30,Regular,"Salt Lake City, Murray, Millcreek, South Salt Lake",1730,Salt Lake,205,0.248804840000000,
43,627,CLFD STATION  /  DATC,30-90,Regular,"Clearfield, Layton, Kaysville",284,Davis,627,0.250957690000000,
62,831,PROVO GRANDVIEW,30,Regular,"Orem, Vineyard, Provo",846,Utah,831,0.253385620000000,
77,F556,5600 WEST FLEX,30,Regular,"West Jordan, West Valley City",270,Salt Lake,0,0.136136620000000,
71,F11,11TH AVENUE FLEX,60,Regular,Salt Lake City,71,Salt Lake,0,0.075908670000000,
48,667,LAGOON / STATION PARK SHUTTLE,30,Regular,Farmington,475,Davis,667,0.098124380000000,
79,F578,7800 SOUTH FLEX,30,Regular,"Midvale, West Jordan",256,Salt Lake,0,0.148819890000000,
